Osoba,Ene,Ene+ZCR,spec16,fbank12,mfcc26
p2101,0.00,0.00,97.50,100.00,97.50
p2102,0.00,0.00,87.50,92.50,100.00
p2103,0.00,0.00,92.50,90.00,90.00
p2104,0.00,0.00,75.00,90.00,90.00
p2105,0.00,0.00,77.50,82.50,85.00
p2106,0.00,0.00,100.00,100.00,100.00
p2109,0.00,0.00,85.00,87.50,87.50
p2110,0.00,0.00,95.00,100.00,100.00
p2111,0.00,0.00,60.00,57.50,67.50
p2112,0.00,0.00,45.00,52.50,60.00
p2201,0.00,0.00,65.00,82.50,82.50
p2202,0.00,0.00,95.00,97.50,97.50
p2203,0.00,0.00,77.05,75.41,75.41
p2204,0.00,0.00,95.00,95.00,95.00
p2206,0.00,0.00,80.00,82.50,82.50
p2207,0.00,0.00,87.50,92.50,97.50
p2301,0.00,0.00,90.00,92.50,100.00
p2303,0.00,0.00,92.50,92.50,92.50
p2304,0.00,0.00,82.50,95.00,95.00
p2305,0.00,0.00,75.00,82.50,82.50
p2306,0.00,0.00,92.50,100.00,100.00
p2307,0.00,0.00,92.50,95.00,100.00
p2308,0.00,0.00,90.00,90.00,95.00
PRUMER,0.00,0.00,83.89,88.06,90.13
